Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Manufacturer PN,Mouser SKU,Type,Manufacturer,Elecrow ID,Elecrow Datasheet,Supplier,Manufaturer PN,Price,Supplier SKU
1,Unpolarized capacitor,C,C7 C8,0.5u 250V,C_Rect_L18_W8_P15,2,http://datasheet.octopart.com/B32652A3474K-EPCOS-datasheet-37496994.pdf,B32652A3474K,871-B32652A3474K,FILM 250V,EPCOS/TDK,,,,,,
2,Unpolarized capacitor,C,C1 C2 C3 C4 C4M1 C5 C6 C9 C12 C15 C17 C19 C20 C34 C36 C37 C38 C39 C43 C44 C45 C47,100n,C_0603,22,http://psearch.en.murata.com/capacitor/product/GCM188R71H104KA57%23.html,GCM188R71H104KA57D C1608X7R1H104K080AA,81-GCM188R71H104KA7D 810-C1608X7R1H104K,MLCC X7R,Murata EPCOS/TDK,15331,,,,,
3,Unpolarized capacitor,C,C5M1,10n,C_0603,1,http://psearch.en.murata.com/capacitor/product/GRM188R71H103KA01%23.html,GRM188R71H103KA01D,81-GRM39X103K50D,,Murata,58143,,,,,
4,Unpolarized capacitor,C,C23 C25,1n 1000V,C_Rect_L12_W5_P6,2,http://www.cde.com/resources/catalogs/CD-CDV16.pdf,CDV16FF102JO3F,598-CDV16FF331JO3F,MICA Snubber 1000V,CornellDubilier,,,,,,
5,Unpolarized capacitor,C,C6M1 C16 C28 C40 C41 C42 C49,1u,C_0603,7,,GCM188R71E105KA64D,81-GCM188R71E105KA4D,,Murata,16531,,,,,
6,Unpolarized capacitor,C,C51 C52 C53,1uF 630V,MLCC_SuperCap_5750_BackCu,3,http://www.mouser.com/ds/2/400/X2_B32921_928-587949.pdf,CGA8N4X7T2W474M230KA,810-CKG57NX7T2J105JH,Film,EPCOS/TDK,,,,,,
7,Unpolarized capacitor,C,C24 C46,2.2uF 630V,C_Rect_W15_L32_P27.5,2,http://www.mouser.com/ds/2/400/X2_B32921_928-587949.pdf,B32923C3225K,871-B32923C3225K,Film,EPCOS/TDK,,,,,,
8,Unpolarized capacitor,C,C48,2.2uF 630V,MLCC_SuperCap_5750_BackCu,1,http://www.mouser.com/ds/2/400/X2_B32921_928-587949.pdf,CKG57NX7T2J105M500JH,810-CKG57NX7T2J105JH,Film,EPCOS/TDK,,,,,,
9,Unpolarized capacitor,C,C10 C11,4.7u,C_0805,2,http://psearch.en.murata.com/capacitor/product/GRM188C81E475KE11%23.html,GRM188C81E475KE11D,81-GRM188C81E475KE1D,MLCC X6S,Murata,20375,,,,,
10,Unpolarized capacitor,C,C13 C14 C18 C21 C22 C26 C27 C29 C30 C31 C32 C33,4.7u,C_0603,12,http://datasheet.octopart.com/GRM188C81E475KE11D-Murata-datasheet-14397282.pdf,GRM188C81E475KE11D,81-GRM188C81E475KE1D,MLCC X6S,Murata,20375,,,,,
