Component,Comment,Designator,Footprint,Pins,Quantity total
1972,470pF,C35 C50,C_0603,2,2
4597,2.2K,R39 R42 R43 R45 R48 R49,R_0603,2,6
15331,100n,C1 C2 C3 C4 C4M1 C5 C6 C9 C12 C15 C17 C19 C20 C34 C36 C37 C38 C39 C43 C44 C45 C47,C_0603,2,22
16531,1u,C6M1 C16 C28 C40 C41 C42 C49,C_0603,2,7
20375,4.7u,C10 C11,C_0805,2,2
20375,4.7u,C13 C14 C18 C21 C22 C26 C27 C29 C30 C31 C32 C33,C_0603,2,12
21903,0R,R1 R2 R3 R4 R51 R52,R_0603,2,6
21904,1k,R9 R11 R18 R19 R21 R23 R25 R28 R30 R34,R_0603,2,10
23663,1R,R10 R12 R17 R20 R22 R24 R26 R27 R29 R33,R_0603,2,10
23920,510R,R8,R_0603,2,1
23939,6.8K,R40 R41 R44 R46 R47 R50,R_0603,2,6
26547,10k,R5 R6 R7,R_0603,2,3
32812,22K,R13 R15 R31 R36 R37,R_0603,2,5
58143,10n,C5M1,C_0603,2,1
