Designator,Footprint,Mid X mm,Mid Y mm,Layer,Rotation,,Value
C1,C_0603,43.942,24.929,top,0,,100n
C2,C_0603,40.882,39.661,top,0,,100n
C3,C_0603,51.3146,23.4076,top,0,,100n
C4M1,C_0603,55.9762,38.0754,top,270,,100n
C5M1,C_0603,30.814,32.721,top,270,,10n
C6,C_0603,115.4968,20.9646,top,0,,100n
C6M1,C_0603,32.514,32.721,top,270,,1u
C10,C_0603,46.228,65.569,top,0,,4.7u
C11,C_0603,137.2108,35.1906,top,270,,4.7u
C12,C_0603,115.2032,63.071,top,180,,100n
C13,C_0603,52.464,65.071,top,0,,4.7u
C14,C_0603,85.014,75.471,top,270,,4.7u
C15,C_0603,48.014,76.471,top,0,,100n
C16,C_0603,39.9923,13.6006,top,270,,1u
C17,C_0603,37.6733,13.6006,top,270,,100n
C18,C_0603,135.8392,61.3018,top,270,,4.7u
C20,C_0603,173.99,20.611,top,0,,100n
C21,C_0603,120.2556,32.803,top,180,,4.7u
C22,C_0603,115.0112,34.2254,top,90,,4.7u
C26,C_0603,123.2408,71.6262,top,90,,4.7u
C27,C_0603,113.9032,74.971,top,180,,4.7u
C28,C_0603,19.514,71.971,top,180,,1u
C30,C_0603,171.704,33.311,top,180,,4.7u
C31,C_0603,179.324,33.311,top,180,,4.7u
C32,C_0603,175.812,61.151,top,0,,4.7u
C33,C_0603,182.67,61.151,top,0,,4.7u
C35,C_0603,11.614,45.371,top,270,,470pF
C40,C_0603,23.494,40.441,top,90,,1u
C41,C_0603,23.514,30.471,top,90,,1u
C42,C_0603,34.514,70.971,top,90,,1u
C45,C_0603,179.814,73.871,top,180,,100n
C49,C_0603,11.634,51.271,top,90,,1u
C50,C_0603,13.114,40.631,top,0,,470pF
D5,LED-0603,43.114,12.671,top,270,,LED
D6,SOD-323,38.1,27.215,top,90,,SD1206S040S0R5
R1,R_0603,67.414,35.471,top,0,,0
R2,R_0603,67.464,37.571,top,0,,0
R3,R_0603,67.464,33.171,top,0,,0
R4,R_0603,67.464,31.321,top,0,,0
R5,R_0603,12.514,14.721,top,270,,10k
R6,R_0603,22.8651,13.5447,top,270,,10k
R7,R_0603,40.914,41.471,top,180,,10k
R8,R_0603,43.114,15.921,top,270,,510
R10,R_0603,49.614,57.171,top,0,,1
R12,R_0603,32.314,57.371,top,180,,1
R13,R_0603,34.514,32.071,top,270,,22K
R15,R_0603,45.466,19.849,top,90,,22K
R17,R_0603,89.5096,44.9442,top,180,,1
R20,R_0603,81.28,50.837,top,0,,1
R22,R_0603,116.4336,40.8294,top,90,,1
R24,R_0603,116.078,49.8718,top,180,,1
R26,R_0603,167.7536,39.661,top,180,,1
R27,R_0603,162.424,57.251,top,180,,1
R29,R_0603,186.0296,39.0514,top,90,,1
R31,R_0603,52.414,16.871,top,0,,22K
R33,R_0603,177.614,54.151,top,270,,1
R36,R_0603,52.414,19.371,top,0,,22K
R37,R_0603,32.364,35.121,top,0,,22K
R39,R_0603,81.814,64.371,top,90,,2.2K
R40,R_0603,84.114,64.371,top,90,,6.8K
R41,R_0603,73.914,29.871,top,180,,6.8K
R42,R_0603,73.914,32.271,top,180,,2.2K
R43,R_0603,157.714,65.071,top,90,,2.2K
R44,R_0603,160.114,65.071,top,90,,6.8K
R45,R_0603,193.024,43.801,top,0,,2.2K
R46,R_0603,193.114,50.471,top,0,,6.8K
R47,R_0603,40.814,70.271,top,270,,6.8K
R48,R_0603,40.814,73.471,top,90,,2.2K
R49,R_0603,192.914,54.571,top,0,,2.2K
R50,R_0603,192.914,56.871,top,180,,6.8K
R51,R_0603,54.114,42.671,top,270,,0
R52,R_0603,51.814,42.671,top,270,,0
U1,SOIC-16_3.9x9.9m,49.514,70.971,top,270,,ADUM3223
U4,SOIC-16_3.9x9.9m,116.9968,25.9646,top,90,,ADUM3223
U8,SOIC-16_3.9x9.9m,116.5032,68.171,top,90,,ADUM3223
U10,SOIC-16_3.9x9.9m,175.26,27.723,top,90,,ADUM3223
U11,SOT-23-5,111.0996,39.6102,top,90,,IR25750
U16,SOIC-16_3.9x9.9m,179.114,66.993,top,270,,ADUM3223
U17,SOT-23-5,175.614,35.471,top,90,,IR25750
U20,SOT-23-5,160.274,34.581,top,90,,IR25750
U22,LQFP-64_10x10mm_,47.498,33.565,top,0,,STM32F334R8T6
##,,,,,,,End
